route_id,total_trips,avg_delay_mins,worst_delay,delayed_trips,delay_rate_pct,performance_label
S86,290,12.75,102.77,214.0,73.8,High
M60-SBS,19073,11.31,113.35,11589.0,60.8,High
S84,1103,11.3,75.4,777.0,70.4,High
M5,34459,10.95,75.98,19584.0,56.8,High
X21,1879,10.82,75.68,992.0,52.8,High
X22A,1387,10.68,73.55,753.0,54.3,High
M1,39863,10.28,117.97,21850.0,54.8,High
M7,41333,10.19,75.65,22670.0,54.8,High
Q32,33797,10.01,85.9,19035.0,56.3,High
Q56,20170,9.93,75.02,10779.0,53.4,High
X10,17227,9.89,76.3,8841.0,51.3,High
B35,70110,9.59,118.27,38077.0,54.3,High
B41,80719,9.19,116.13,42999.0,53.3,High
M2,34456,9.13,78.45,18591.0,54.0,High
X1,37382,8.89,79.43,17174.0,45.9,High
X2,6226,8.83,74.47,3082.0,49.5,High
Q59,20688,8.55,76.07,10237.0,49.5,High
B25,29854,8.4,75.42,14684.0,49.2,High
M3,42882,8.32,115.32,21323.0,49.7,High
X22,9215,8.16,74.87,4106.0,44.6,High
M4,52603,8.12,119.88,25842.0,49.1,High
X30,4322,8.07,74.95,1961.0,45.4,High
Q54,32905,8.04,119.82,15218.0,46.2,High
M9,17506,7.94,73.68,8521.0,48.7,Medium
Bx15,54832,7.8,75.22,24675.0,45.0,Medium
X14,5036,7.8,105.68,2325.0,46.2,Medium
B24,10988,7.61,74.97,4914.0,44.7,Medium
B12,32640,7.52,112.23,15278.0,46.8,Medium
X5,9036,7.51,77.35,4216.0,46.7,Medium
S81,601,7.5,41.57,411.0,68.4,Medium
M102,34547,7.49,110.72,15266.0,44.2,Medium
Q58,76127,7.38,119.83,32577.0,42.8,Medium
X17J,11621,7.35,103.12,4761.0,41.0,Medium
Bx39,35464,7.22,78.07,13792.0,38.9,Medium
Bx32,16627,7.19,73.48,7164.0,43.1,Medium
Bx20,1663,7.18,61.82,770.0,46.3,Medium
M101,62836,7.05,116.88,27284.0,43.4,Medium
M103,33048,7.0,97.68,14222.0,43.0,Medium
Q88,22233,6.97,77.63,9025.0,40.6,Medium
B60,29557,6.96,74.22,12102.0,40.9,Medium
X9,4845,6.92,74.62,2199.0,45.4,Medium
S92,1215,6.88,66.78,628.0,51.7,Medium
Q24,26748,6.81,74.77,11438.0,42.8,Medium
Bx21,34754,6.8,76.25,14444.0,41.6,Medium
B38,50382,6.7,110.25,22307.0,44.3,Medium
M55,15847,6.67,99.82,7220.0,45.6,Medium
S96,2488,6.64,70.02,1312.0,52.7,Medium
M50,7473,6.59,63.98,3383.0,45.3,Medium
B45,16057,6.58,90.52,6896.0,42.9,Medium
B82,58032,6.53,109.33,26514.0,45.7,Medium
